date,temperature_moy_c,ensoleillement_heures,vitesse_vent_mps,precipitation_mm
2025-06-05,15.1,9.9,3.5,0.6
2025-06-06,2.5,2.5,8.6,2.0
2025-06-07,12.2,7.1,8.4,1.3
2025-06-08,10.3,8.1,5.1,0.9
2025-06-09,2.7,0.0,6.5,10.2
2025-06-10,23.6,6.6,5.5,6.1
2025-06-11,6.3,10.9,6.6,1.4
2025-06-12,14.3,3.3,7.5,0.8
2025-06-13,12.7,3.7,1.9,6.8
2025-06-14,14.5,7.5,5.7,3.5
2025-06-15,-1.0,8.8,2.7,0.2
2025-06-16,13.9,4.4,1.6,2.0
2025-06-17,6.4,3.0,3.5,1.1
2025-06-18,14.5,7.1,10.2,12.3
2025-06-19,2.9,8.3,2.2,3.8
2025-06-20,8.8,6.6,3.9,2.7
2025-06-21,16.5,3.5,6.7,5.5
2025-06-22,3.1,5.4,8.0,2.4
2025-06-23,2.8,4.9,3.3,0.8
2025-06-24,11.6,1.9,2.6,1.4
2025-06-25,20.6,6.9,4.8,9.3
2025-06-26,10.0,8.2,4.5,0.9
2025-06-27,11.3,10.6,5.1,5.9
2025-06-28,11.7,9.0,2.2,0.2
2025-06-29,24.0,0.8,2.7,3.5
2025-06-30,8.9,9.1,3.5,1.8
2025-07-01,22.2,8.8,7.7,13.1
2025-07-02,20.5,2.5,6.9,0.5
2025-07-03,16.6,7.3,8.9,1.0
2025-07-04,-1.5,5.0,7.4,2.5
2025-07-05,16.5,7.0,10.7,0.2
2025-07-06,14.6,1.3,2.6,2.1
2025-07-07,10.5,2.5,2.9,1.9
2025-07-08,18.2,8.1,5.6,5.0
2025-07-09,12.4,4.8,5.7,3.1
2025-07-10,17.2,9.6,3.5,2.3
2025-07-11,31.8,6.3,4.2,0.3
2025-07-12,1.1,4.4,2.3,3.5
2025-07-13,16.1,4.5,6.1,0.3
2025-07-14,-4.0,12.1,5.7,6.1
2025-07-15,8.8,7.3,7.8,0.2
2025-07-16,10.1,4.8,3.3,8.6
2025-07-17,3.5,9.4,5.9,3.7
2025-07-18,17.6,4.4,7.1,1.3
2025-07-19,4.1,7.0,4.6,0.1
2025-07-20,23.6,8.8,6.2,3.1
2025-07-21,23.6,7.1,2.8,12.1
2025-07-22,14.0,8.5,4.7,5.3
2025-07-23,11.9,4.9,9.6,0.2
2025-07-24,6.5,0.0,5.5,1.1
2025-07-25,19.9,3.8,5.1,10.8
2025-07-26,12.2,0.0,8.4,3.3
2025-07-27,6.3,3.0,7.3,1.1
2025-07-28,17.8,3.5,5.3,6.1
2025-07-29,11.1,5.6,7.4,1.8
2025-07-30,16.8,4.3,3.6,1.6
2025-07-31,20.6,6.9,1.1,0.6
2025-08-01,19.4,8.0,0.2,2.4
2025-08-02,8.9,6.6,4.2,2.6
2025-08-03,11.0,4.5,7.9,0.1
2025-08-04,17.4,6.3,3.5,5.1
2025-08-05,5.7,2.0,1.1,0.1
2025-08-06,20.3,8.2,8.5,2.6
2025-08-07,21.7,9.5,3.5,0.4
2025-08-08,5.7,7.1,3.0,5.9
2025-08-09,15.9,7.2,5.8,2.9
2025-08-10,25.3,8.1,7.4,5.4
2025-08-11,11.3,8.3,1.5,9.5
2025-08-12,23.4,6.2,3.8,0.5
2025-08-13,8.2,7.7,4.9,7.4
2025-08-14,2.2,4.6,4.1,4.3
2025-08-15,22.0,6.0,6.0,0.8
2025-08-16,7.3,7.4,2.8,2.7
2025-08-17,8.6,9.2,0.0,12.4
2025-08-18,5.4,2.9,2.4,1.3
2025-08-19,2.3,7.2,4.5,6.8
2025-08-20,18.0,6.9,3.1,7.1
2025-08-21,20.3,5.8,2.0,0.6
2025-08-22,23.5,4.3,4.3,0.5
2025-08-23,13.6,3.3,4.0,0.4
2025-08-24,17.8,2.6,6.4,0.3
2025-08-25,11.1,9.2,6.2,3.4
2025-08-26,31.6,9.1,8.7,0.9
2025-08-27,14.6,4.3,5.4,5.4
2025-08-28,22.6,9.3,8.0,11.7
2025-08-29,20.9,4.1,5.5,7.2
2025-08-30,12.6,10.6,1.6,1.7
2025-08-31,0.4,4.2,5.9,0.9
2025-09-01,19.7,5.6,4.4,7.3
2025-09-02,26.1,8.5,7.2,0.1
2025-09-03,7.3,10.3,1.4,0.5
2025-09-04,10.7,8.0,2.3,2.7
2025-09-05,28.8,5.3,6.1,5.1
2025-09-06,21.8,2.3,8.6,0.4
2025-09-07,15.1,4.5,2.9,0.3
2025-09-08,21.5,4.2,3.1,1.3
2025-09-09,13.2,6.1,5.3,1.6
2025-09-10,10.5,8.5,5.5,7.9
2025-09-11,7.1,9.7,5.0,1.8
2025-09-12,23.2,8.8,3.9,3.0
2025-09-13,6.4,5.4,3.5,2.3
2025-09-14,14.9,6.5,4.3,4.8
2025-09-15,25.3,8.8,5.6,1.6
2025-09-16,28.1,9.9,2.3,0.3
2025-09-17,13.0,3.8,3.3,4.0
2025-09-18,15.5,0.0,8.6,0.5
2025-09-19,10.9,2.5,10.7,2.2
2025-09-20,14.9,5.7,3.9,4.0
2025-09-21,28.8,8.0,3.6,2.7
2025-09-22,9.7,3.8,7.7,1.6
2025-09-23,18.4,7.8,4.0,3.3
2025-09-24,9.6,0.0,6.3,1.3
2025-09-25,5.2,6.0,5.4,2.0
2025-09-26,21.5,6.4,4.4,3.8
2025-09-27,26.1,5.3,11.6,0.6
2025-09-28,2.1,5.3,4.4,9.1
2025-09-29,20.0,12.6,6.4,2.3
2025-09-30,12.5,3.2,5.6,1.8
2025-10-01,8.6,3.9,6.7,0.5
2025-10-02,20.7,5.5,3.4,2.2
2025-10-03,28.3,2.3,7.4,2.6
2025-10-04,18.8,2.8,7.1,4.5
2025-10-05,7.3,9.1,8.9,6.7
2025-10-06,13.1,4.3,8.7,3.5
2025-10-07,9.4,4.0,3.1,1.0
2025-10-08,3.5,4.6,4.8,1.2
2025-10-09,16.9,5.1,5.7,0.5
2025-10-10,19.1,9.8,5.3,1.1
2025-10-11,11.2,9.9,3.4,5.0
2025-10-12,19.6,5.6,8.5,2.0
2025-10-13,11.1,7.5,6.4,0.7
2025-10-14,18.3,7.1,5.2,0.2
2025-10-15,14.7,6.4,2.1,2.6
2025-10-16,20.8,6.3,7.5,0.0
2025-10-17,19.1,0.0,10.3,2.1
2025-10-18,16.7,4.5,9.0,2.0
2025-10-19,15.2,7.2,2.6,0.6
2025-10-20,17.3,8.9,3.0,3.0
2025-10-21,15.3,8.3,3.4,5.1
2025-10-22,15.0,7.2,9.0,0.4
2025-10-23,12.7,12.0,10.1,0.3
2025-10-24,23.8,5.2,4.4,6.2
2025-10-25,11.7,7.2,3.3,0.3
2025-10-26,3.0,9.8,3.3,3.1
2025-10-27,20.8,8.3,2.6,6.2
2025-10-28,7.0,6.7,2.0,3.6
2025-10-29,13.0,4.8,5.7,2.1
2025-10-30,20.2,6.1,0.0,5.7
2025-10-31,21.3,0.0,3.0,2.0
2025-11-01,17.2,6.9,0.8,2.0
2025-11-02,7.2,1.5,6.0,4.7
2025-11-03,-1.7,5.5,4.3,8.9
2025-11-04,11.8,3.3,3.7,1.9
2025-11-05,18.9,0.2,0.0,1.8
2025-11-06,20.9,5.7,5.9,0.9
2025-11-07,12.9,1.2,3.2,3.7
2025-11-08,20.2,5.8,4.2,4.5
2025-11-09,21.1,0.3,6.6,0.2
2025-11-10,8.6,4.9,6.0,6.2
2025-11-11,25.6,3.4,6.6,0.4
2025-11-12,12.8,5.9,1.7,0.3
2025-11-13,14.5,6.7,5.2,0.9
2025-11-14,21.4,9.0,8.2,13.6
2025-11-15,22.0,2.4,6.5,2.1
2025-11-16,20.0,3.6,3.8,1.0
2025-11-17,25.8,4.0,3.0,0.1
2025-11-18,15.6,5.4,2.8,8.1
2025-11-19,24.3,7.6,0.0,0.3
2025-11-20,10.8,6.9,6.0,0.6
2025-11-21,-6.0,13.6,6.3,2.6
2025-11-22,16.2,4.1,5.1,0.2
2025-11-23,22.0,8.8,5.3,0.5
2025-11-24,13.9,2.9,2.9,1.4
2025-11-25,14.4,0.9,5.5,0.2
2025-11-26,14.7,4.4,5.4,5.4
2025-11-27,39.6,10.1,1.9,0.7
2025-11-28,16.9,8.6,0.8,0.7
2025-11-29,9.5,8.9,7.5,4.6
2025-11-30,26.0,6.5,6.0,0.5
2025-12-01,20.1,4.6,3.1,7.6
2025-12-02,27.9,3.9,5.6,8.9
2025-12-03,8.4,2.3,3.6,2.1
2025-12-04,14.0,5.2,2.6,1.3
2025-12-05,20.4,7.8,4.0,1.4
2025-12-06,6.9,7.1,3.9,3.7
2025-12-07,11.0,2.5,5.7,0.4
2025-12-08,8.4,10.0,0.3,7.3
2025-12-09,4.8,6.6,7.7,3.1
2025-12-10,12.0,8.7,5.9,6.7
2025-12-11,28.3,6.9,6.5,0.5
2025-12-12,26.3,8.0,7.2,0.3
2025-12-13,4.7,5.6,7.7,2.9
2025-12-14,-2.5,8.9,6.2,0.7
2025-12-15,15.0,9.7,7.5,1.3
2025-12-16,3.8,12.6,8.0,3.2
2025-12-17,9.1,2.0,4.0,5.3
2025-12-18,18.5,10.6,5.9,3.8
2025-12-19,17.6,1.8,4.5,10.2
2025-12-20,23.5,2.6,4.6,1.5
2025-12-21,14.0,6.9,3.4,3.9
2025-12-22,13.1,9.1,3.3,1.8
2025-12-23,27.2,5.8,2.5,1.4
2025-12-24,-1.7,7.3,0.0,5.0
2025-12-25,18.1,0.0,2.0,1.0
2025-12-26,22.1,6.4,5.7,2.6
2025-12-27,13.2,6.2,5.5,2.4
2025-12-28,34.1,4.0,4.4,0.6
2025-12-29,14.1,7.7,3.4,0.1
2025-12-30,14.6,6.9,9.5,2.1
2025-12-31,21.5,3.5,3.9,1.9
